Symbol,Security,From Series,To Series,Change Date,Remarks
DHARARAIL,DHARA RAIL PROJECTS LIMITED,SM,ST,03-JUL-2026,"-"
EMMBI,EMMBI INDUSTRIES LIMITED,EQ,BE,03-JUL-2026,"-"
SYNOPTICS,SYNOPTICS TECHNOLOGIES LIMITED,SM,ST,03-JUL-2026,"-"
NECCLTD,NORTH EASTERN CARRYING CORPORATION LIMITED,EQ,BE,03-JUL-2026,"-"
ARMOUR,ARMOUR SECURITY (INDIA) LIMITED,SM,ST,03-JUL-2026,"-"
OMFREIGHT,OM FREIGHT FORWARDERS LIMITED,EQ,BE,03-JUL-2026,"-"
BLISSGVS,BLISS GVS PHARMA LIMITED,EQ,BE,03-JUL-2026,"-"
MICEL,MIC ELECTRONICS LIMITED,EQ,BE,03-JUL-2026,"-"
DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,BE,03-JUL-2026,"-"
SHYAMCENT,SHYAM CENTURY FERROUS LIMITED,EQ,BE,03-JUL-2026,"-"
KILITCH,KILITCH DRUGS (INDIA) LIMITED,EQ,BE,03-JUL-2026,"-"
SUTLEJTEX,SUTLEJ TEXTILES AND INDUSTRIES LIMITED,EQ,BE,03-JUL-2026,"-"
BHADORA,BHADORA INDUSTRIES LIMITED,SM,ST,03-JUL-2026,"-"
VELJAN,VELJAN DENISON LIMITED,EQ,BE,03-JUL-2026,"-"
URAVIDEF,URAVI DEFENCE AND TECHNOLOGY LIMITED,EQ,BE,03-JUL-2026,"-"
VARDHACRLC,VARDHMAN ACRYLICS LIMITED,EQ,BE,03-JUL-2026,"-"
GEECEE,GEECEE VENTURES LIMITED,EQ,BE,03-JUL-2026,"-"
