Sr. No,Symbol,Series,Security Name,From,To
1,BHADORA,ST,BHADORA INDUSTRIES LIMITED,10,5
2,BLISSGVS,BE,BLISS GVS PHARMA LIMITED,10,5
3,MHLXMIRU,EQ,MAHALAXMI RUBTECH LIMITED,10,5
4,MICEL,BE,MIC ELECTRONICS LIMITED,10,5
5,SHYAMCENT,BE,SHYAM CENTURY FERROUS LIMITED,10,5
6,URAVIDEF,BE,URAVI DEFENCE AND TECHNOLOGY LIMITED,10,5
7,VELJAN,BE,VELJAN DENISON LIMITED,10,5
8,VISL,EQ,VEDANTA IRON AND STEEL LIMITED,10,5
9,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED,20,10
10,ARMOUR,ST,ARMOUR SECURITY (INDIA) LIMITED,20,5
11,DELPHIFX,BE,DELPHI WORLD MONEY LIMITED,20,5
12,DHARARAIL,ST,DHARA RAIL PROJECTS LIMITED,20,5
13,EMMBI,BE,EMMBI INDUSTRIES LIMITED,20,5
14,GEECEE,BE,GEECEE VENTURES LIMITED,20,5
15,KILITCH,BE,KILITCH DRUGS (INDIA) LIMITED,20,5
16,NECCLTD,BE,NORTH EASTERN CARRYING CORPORATION LIMITED,20,5
17,OMFREIGHT,BE,OM FREIGHT FORWARDERS LIMITED,20,5
18,SUTLEJTEX,BE,SUTLEJ TEXTILES AND INDUSTRIES LIMITED,20,5
19,TIRUPATIFL,EQ,TIRUPATI FORGE LIMITED,20,10
20,VARDHACRLC,BE,VARDHMAN ACRYLICS LIMITED,20,5
21,DIVYADHAN,ST,DIVYADHAN RECYCLING INDUSTRIES LIMITED,5,2
