DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
02-JUL-2026,FUTIRC,633GS2035,30-JUL-2026,97.4525000
02-JUL-2026,FUTIRC,633GS2035,27-AUG-2026,97.3675000
02-JUL-2026,FUTIRC,633GS2035,24-SEP-2026,97.3000000
02-JUL-2026,FUTIRC,633GS2035,31-DEC-2026,97.1300000
02-JUL-2026,FUTIRC,633GS2035,25-MAR-2027,96.8675000
02-JUL-2026,FUTIRC,636GS2031,30-JUL-2026,99.7650000
02-JUL-2026,FUTIRC,636GS2031,27-AUG-2026,99.6850000
02-JUL-2026,FUTIRC,636GS2031,24-SEP-2026,99.6175000
02-JUL-2026,FUTIRC,636GS2031,31-DEC-2026,99.4775000
02-JUL-2026,FUTIRC,648GS2035,30-JUL-2026,98.0875000
02-JUL-2026,FUTIRC,648GS2035,27-AUG-2026,97.9950000
02-JUL-2026,FUTIRC,648GS2035,24-SEP-2026,97.9200000
02-JUL-2026,FUTIRC,648GS2035,31-DEC-2026,97.7125000
02-JUL-2026,FUTIRC,648GS2035,25-MAR-2027,97.4325000
02-JUL-2026,FUTIRC,648GS2035,24-JUN-2027,97.2825000
02-JUL-2026,FUTIRC,668GS2040,30-JUL-2026,97.4875000
02-JUL-2026,FUTIRC,668GS2040,27-AUG-2026,97.3700000
02-JUL-2026,FUTIRC,668GS2040,24-SEP-2026,97.2700000
02-JUL-2026,FUTIRC,668GS2040,31-DEC-2026,97.0200000
02-JUL-2026,FUTIRC,668GS2040,25-MAR-2027,96.6625000
02-JUL-2026,FUTIRC,668GS2040,24-JUN-2027,96.4725000
02-JUL-2026,FUTIRC,679GS2034,30-JUL-2026,100.4575000
02-JUL-2026,FUTIRC,679GS2034,27-AUG-2026,100.3525000
02-JUL-2026,FUTIRC,679GS2034,24-SEP-2026,100.2625000
02-JUL-2026,FUTIRC,694GS2036,30-JUL-2026,101.4575000
02-JUL-2026,FUTIRC,694GS2036,27-AUG-2026,101.3400000
02-JUL-2026,FUTIRC,694GS2036,24-SEP-2026,101.2425000
02-JUL-2026,FUTIRC,694GS2036,31-DEC-2026,100.9750000
02-JUL-2026,FUTIRC,694GS2036,25-MAR-2027,100.6175000
02-JUL-2026,FUTIRC,694GS2036,24-JUN-2027,100.4125000
02-JUL-2026,FUTIRC,723GS2039,30-JUL-2026,102.1850000
02-JUL-2026,FUTIRC,723GS2039,27-AUG-2026,102.0500000
02-JUL-2026,FUTIRC,723GS2039,24-SEP-2026,101.9375000
02-JUL-2026,FUTIRC,723GS2039,31-DEC-2026,101.5950000
02-JUL-2026,FUTIRC,723GS2039,25-MAR-2027,101.1850000
02-JUL-2026,FUTIRC,723GS2039,24-JUN-2027,100.9100000
02-JUL-2026,FUTIRC,ONMIBOR,31-JUL-2026,5.3475000
02-JUL-2026,FUTIRC,ONMIBOR,31-AUG-2026,5.3475000
02-JUL-2026,FUTIRC,ONMIBOR,30-SEP-2026,5.3400000
02-JUL-2026,FUTIRC,ONMIBOR,31-DEC-2026,5.5350000
02-JUL-2026,FUTIRC,ONMIBOR,31-MAR-2027,5.7725000
02-JUL-2026,FUTIRC,ONMIBOR,30-JUN-2027,6.0425000
02-JUL-2026,FUTIRT,91DTB,29-JUL-2026,98.7100000
02-JUL-2026,FUTIRT,91DTB,25-AUG-2026,98.6975000
02-JUL-2026,FUTIRT,91DTB,30-SEP-2026,98.6750000
02-JUL-2026,FUTIRT,91DTB,30-DEC-2026,98.7075000
