Date,ISIN,Underlying NSE Symbol,EWPL(Lots),Open Interest in NSE,Limit for Next Day,Exchange
02-Jul-2026,IN0020240027,723GS2039,1462500,0,1462500,NSE
02-Jul-2026,IN0020240126,679GS2034,2300000,0,2300000,NSE
02-Jul-2026,IN0020250026,633GS2035,2292162,0,2292162,NSE
02-Jul-2026,IN0020250042,668GS2040,2850000,1000,2849000,NSE
02-Jul-2026,IN0020250091,648GS2035,2825000,24437,2800563,NSE
02-Jul-2026,IN0020250141,636GS2031,1012500,0,1012500,NSE
02-Jul-2026,IN0020260025,694GS2036,850000,13215,836785,NSE
02-Jul-2026,IN0020240027,723GS2039,1462500,0,1462500,BSE
02-Jul-2026,IN0020240126,679GS2034,2300000,0,2300000,BSE
02-Jul-2026,IN0020250026,633GS2035,2292162,0,2292162,BSE
02-Jul-2026,IN0020250042,668GS2040,2850000,0,2850000,BSE
02-Jul-2026,IN0020250091,648GS2035,2825000,0,2825000,BSE
02-Jul-2026,IN0020250141,636GS2031,1012500,0,1012500,BSE
02-Jul-2026,IN0020260025,694GS2036,850000,0,850000,BSE
02-Jul-2026,IN0020240027,723GS2039,1462500,0,1462500,MSE
02-Jul-2026,IN0020240126,679GS2034,2300000,0,2300000,MSE
02-Jul-2026,IN0020250026,633GS2035,2292162,0,2292162,MSE
02-Jul-2026,IN0020250042,668GS2040,2850000,0,2850000,MSE
02-Jul-2026,IN0020250091,648GS2035,2825000,0,2825000,MSE
02-Jul-2026,IN0020250141,636GS2031,1012500,0,1012500,MSE
02-Jul-2026,IN0020260025,694GS2036,850000,0,850000,MSE
